PIN:MEMLATENCIES 1.0. 0x0
#
# DCACHE stats
#
#L1 Data Cache:
#Load-Hits:                    308998:   97.2432%:        308998:   97.2432%
#Load-Misses:                    8760:    2.7568%:          8760:    2.7568%
#Load-Accesses:                317758:  100.0000%:        317758:  100.0000%
#
#Store-Hits:                   133765:   98.4370%:        133765:   98.4370%
#Store-Misses:                   2124:    1.5630%:          2124:    1.5630%
#Store-Accesses:               135889:  100.0000%:        135889:  100.0000%
#
#Total-Hits:                   442763:   97.6008%:        442763:   97.6008%
#Total-Misses:                  10884:    2.3992%:         10884:    2.3992%
#Total-Accesses:               453647:  100.0000%:        453647:  100.0000%

#Load-SttRam:                  203574:   64.0657%
#Store-Sttram:                  39845:   29.3217%
#Load-Sram:                    114184:   35.9343%
#Store-Sram:                    96044:   70.6783%


#Stack-Swap:                    14203:   85.9070%:         14203:   85.9070%
#Heap-Swap:                         0:    0.0000%:             0:    0.0000%
#Global-Swap:                    2330:   14.0930%:          2330:   14.0930%
#Total-Swap:                    16533:  100.0000%:         16533:  100.0000%

#Stack-Migration:               14532:   80.4384%:         14532:   80.4384%
#Heap-Migration:                    0:    0.0000%:             0:    0.0000%
#Global-Migration:               3534:   19.5616%:          3534:   19.5616%
#Total-Migrate:                 18066:  100.0000%:         18066:  100.0000%

#Stack-WriteBack:                 289:   12.3346%:           289:   12.3346%
#Heap-WriteBack:                    0:    0.0000%:             0:    0.0000%
#Global-WriteBack:               2054:   87.6654%:          2054:   87.6654%
#Total-WriteBack:                2343:  100.0000%:          2343:  100.0000%

##############################cache line level statistics############################
Tag-Num:        Tag-Read:       Tag-Write:      Tag-Shift:      Tag-Hit:        Tag-Miss:       
###Stack###
       201321784:              60:              30:              29:              89:               1
       201321789:               0:              60:               2:              59:               1
       201321791:             106:             153:               8:             258:               1
       201321792:             291:             259:             151:             545:               5
       201321793:             216:             153:              96:             368:               1
       201321795:              15:              15:               5:              29:               1
       201321797:             165:              79:              44:             243:               1
       201321798:             105:              88:              44:             192:               1
       201321799:             142:             236:               8:             377:               1
       201321800:             282:             266:             200:             547:               1
       201321801:             325:             170:             104:             494:               1
       201321803:              18:              18:               5:              35:               1
       201321805:             178:              48:              47:             225:               1
       201321806:             118:              96:              47:             213:               1
       201321807:             144:             232:               8:             375:               1
       201321808:             256:             248:             206:             502:               2
       201321809:             402:             249:             161:             649:               2
       201321810:              51:              51:              42:             101:               1
       201321811:              52:              50:              10:             100:               2
       201321813:             109:              29:              29:             136:               2
       201321814:             149:              78:              48:             226:               1
       201321815:             119:             173:               8:             291:               1
       201321816:             178:             179:             121:             355:               2
       201321817:             249:             167:             109:             414:               2
       201321818:              30:              28:              26:              57:               1
       201321819:              34:              33:              14:              65:               2
       201321820:               2:               1:               3:               2:               1
       201321821:              72:              17:              18:              87:               2
       201321822:             154:              69:              41:             221:               2
       201321823:             133:             157:              28:             288:               2
       201321824:             172:             169:             112:             339:               2
       201321825:             206:             164:             103:             368:               2
       201321826:              81:              79:              63:             159:               1
       201321827:              93:              85:              50:             176:               2
       201321828:              52:              46:              11:              97:               1
       201321829:              66:              24:              22:              88:               2
       201321830:             183:              90:              57:             270:               3
       201321831:             128:             147:              26:             272:               3
       201321832:             194:             190:             134:             381:               3
       201321833:             262:             222:             123:             481:               3
       201321834:             177:             172:             140:             347:               2
       201321835:             181:             166:              99:             344:               3
