PIN:MEMLATENCIES 1.0. 0x0
#
# DCACHE stats
#
#L1 Data Cache:
#Load-Hits:                    309177:   97.3001%:        309177:   97.3001%
#Load-Misses:                    8579:    2.6999%:          8579:    2.6999%
#Load-Accesses:                317756:  100.0000%:        317756:  100.0000%
#
#Store-Hits:                   133685:   98.3781%:        133685:   98.3781%
#Store-Misses:                   2204:    1.6219%:          2204:    1.6219%
#Store-Accesses:               135889:  100.0000%:        135889:  100.0000%
#
#Total-Hits:                   442862:   97.6230%:        442862:   97.6230%
#Total-Misses:                  10783:    2.3770%:         10783:    2.3770%
#Total-Accesses:               453645:  100.0000%:        453645:  100.0000%

#Load-SttRam:                  203589:   64.0709%
#Store-Sttram:                  40196:   29.5800%
#Load-Sram:                    114167:   35.9291%
#Store-Sram:                    95693:   70.4200%


#Stack-Swap:                    14329:   85.7870%:         14329:   85.7870%
#Heap-Swap:                         0:    0.0000%:             0:    0.0000%
#Global-Swap:                    2374:   14.2130%:          2374:   14.2130%
#Total-Swap:                    16703:  100.0000%:         16703:  100.0000%

#Stack-Migration:               14711:   80.7542%:         14711:   80.7542%
#Heap-Migration:                    0:    0.0000%:             0:    0.0000%
#Global-Migration:               3506:   19.2458%:          3506:   19.2458%
#Total-Migrate:                 18217:  100.0000%:         18217:  100.0000%

#Stack-WriteBack:                 351:   14.4504%:           351:   14.4504%
#Heap-WriteBack:                    0:    0.0000%:             0:    0.0000%
#Global-WriteBack:               2078:   85.5496%:          2078:   85.5496%
#Total-WriteBack:                2429:  100.0000%:          2429:  100.0000%

##############################cache line level statistics############################
Tag-Num:        Tag-Read:       Tag-Write:      Tag-Shift:      Tag-Hit:        Tag-Miss:       
###Stack###
       201082427:              60:              30:              30:              89:               1
       201082432:               0:              60:               4:              59:               1
       201082434:             106:             153:              14:             258:               1
       201082435:             291:             259:             141:             546:               4
       201082436:             216:             153:              95:             367:               2
       201082438:              15:              15:               7:              29:               1
       201082440:             165:              79:              45:             243:               1
       201082441:             105:              88:              45:             192:               1
       201082442:             142:             236:              15:             377:               1
       201082443:             282:             266:             199:             546:               2
       201082444:             325:             170:             104:             494:               1
       201082446:              18:              18:               5:              35:               1
       201082448:             178:              48:              47:             225:               1
       201082449:             118:              96:              47:             213:               1
       201082450:             144:             232:               8:             375:               1
       201082451:             256:             248:             205:             501:               3
       201082452:             402:             249:             158:             647:               4
       201082453:              51:              51:              42:             101:               1
       201082454:              52:              50:              11:             100:               2
       201082456:             109:              29:              28:             136:               2
       201082457:             149:              78:              47:             226:               1
       201082458:             119:             173:               8:             291:               1
       201082459:             178:             179:             122:             355:               2
       201082460:             249:             167:             110:             413:               3
       201082461:              30:              28:              27:              57:               1
       201082462:              34:              33:              14:              65:               2
       201082463:               2:               1:               2:               2:               1
       201082464:              72:              17:              16:              87:               2
       201082465:             154:              69:              41:             221:               2
       201082466:             133:             157:              29:             288:               2
       201082467:             172:             169:             113:             339:               2
       201082468:             206:             164:             103:             368:               2
       201082469:              81:              79:              62:             159:               1
       201082470:              93:              85:              49:             176:               2
       201082471:              52:              46:              11:              97:               1
       201082472:              66:              24:              22:              88:               2
       201082473:             183:              90:              57:             271:               2
       201082474:             128:             147:              27:             272:               3
       201082475:             194:             190:             135:             380:               4
       201082476:             262:             222:             124:             480:               4
       201082477:             177:             172:             139:             347:               2
       201082478:             181:             166:              99:             343:               4
       201082479:             201:             193:              84:             392:               2
       201082480:             196:             146:              57:             340:               2
       201082481:             430:             306:             116:             734:               2
       201082482:             280:             235:             133:             513:               2
       201082483:             160:             136:             132:             293:               3
       201082484:             192:             147:              93:             336:               3
       201082485:             116:             110:              79:             224:               2
       201082486:             242:             217:             189:             456:               3
       201082487:             314:             219:             120:             530:               3
       201082488:             238:             233:              81:             468:               3
       201082489:             361:             229:             102:             587:               3
       201082490:             178:             154:             116:             328:               4
       201082491:             143:             133:              46:             272:               4
       201082492:             105:              82:              46:             183:               4
       201082493:             174:             124:              83:             295:               3
       201082494:             151:             121:              86:             268:               4
       201082495:             191:             133:              79:             322:               2
       201082496:             172:             141:             111:             308:               5
       201082497:             203:             144:             115:             343:               4
       201082498:             206:             151:             140:             354:               3
       201082499:             310:             222:             167:             529:               3
       201082500:             259:             222:             165:             475:               6
       201082501:             225:             182:             104:             403:               4
       201082502:             229:             171:              74:             398:               2
       201082503:             218:             176:             102:             390:               4
       201082504:             316:             187:             102:             500:               3
       201082505:             133:             117:              81:             247:               3
       201082506:             173:             140:              69:             310:               3
       201082507:              92:              67:              29:             156:               3
       201082508:             158:             130:              91:             285:               3
       201082509:             110:              96:              45:             202:               4
       201082510:              98:              73:              22:             169:               2
       201082511:             536:             427:             274:             960:               3
       201082512:             701:             566:             477:            1264:               3
       201082513:             610:             420:             242:            1028:               2
       201082514:             775:             451:             263:            1224:               2
       201082515:             633:             442:             273:            1071:               4
       201082516:             564:             489:             275:            1051:               2
       201082517:             549:             436:             335:             982:               3
       201082518:             577:             472:             253:            1045:               4
       201082519:             901:             874:             100:            1772:               3
       201082520:            1075:             830:             605:            1903:               2
       201082521:             467:             294:             309:             758:               3
       201082522:             300:             258:              86:             556:               2
       201082523:             582:             412:             294:             991:               3
       201082524:             723:             732:              59:            1453:               2
       201082525:             838:             764:             128:            1601:               1
       201082526:             925:             599:             365:            1522:               2
       201082527:            2843:             958:             891:            3798:               3
       201082528:            2748:            1168:             709:            3886:              30
       201082529:            2111:            1505:            1143:            3565:              51
       201082530:            1922:            2042:              67:            3961:               3
       201082531:            3228:            3122:             692:            6346:               4
       201082532:             697:             537:             159:            1232:               2
       201082533:            1440:             922:             816:            2357:               5
       201082534:            2138:            1991:             510:            4127:               2
       201082535:            3415:            2787:            1747:            6198:               4
       201082536:            3512:            3609:              76:            7119:               2
       201082537:            7079:            6346:            2217:           13423:               2
       201082538:            1449:             888:             419:            2335:               2
       201082539:            2004:            1630:             842:            3616:              18
       201082540:            2539:            2492:             873:            5023:               8
       201082541:            4193:            3603:            1361:            7792:               4
       201082542:            4117:            3415:             715:            7516:              16
       201082543:            6949:            4995:            2396:           11940:               4
       201082544:            2227:            1187:             668:            3412:               2
       201082545:            1329:            1844:             108:            3172:               1
       201082546:            2826:            1712:             823:            4537:               1
       201082547:            5371:            3013:            1715:            8381:               3
       201082548:            1945:            2816:             141:            4759:               2
       201082549:            5442:            3760:            1540:            9199:               3
       201082550:            3822:            2457:             723:            6278:               1
       201082551:            2128:            1594:             592:            3714:               8
       201082552:            1599:            1450:             383:            3039:              10
       201082553:            2663:            1347:             932:            3999:              11
       201082554:            1128:            1047:             557:            2173:               2
       201082555:            2934:             947:             587:            3878:               3
       201082556:            2682:            1710:            1109:            4382:              10
       201082557:            2585:            1953:            1014:            4532:               6
       201082558:            4450:             998:             601:            5441:               7
       201082559:             555:             509:             203:            1058:               6
       201082560:             614:             510:             314:            1118:               6
       201082561:            2977:            5618:             187:            8593:               2
       201082562:            2876:            1387:             494:            4260:               3
       201082563:           10209:            1087:             714:           11291:               5
       201082564:            6434:            6466:             617:           12898:               2
       201082565:             370:             322:              92:             690:               2
       201082566:             630:             601:              64:            1228:               3
       201082567:            1218:             459:             342:            1674:               3
       201082568:            1173:             976:             386:            2147:               2
       201082569:            3459:             691:             539:            4147:               3
       201082570:            1790:            1057:             617:            2843:               4
       201082571:            1232:             509:             162:            1740:               1
       201082572:            1647:            1178:             500:            2822:               3
       201082573:             552:             512:              77:            1061:               3
       201082574:            2068:             622:             188:            2686:               4
       201082575:             656:             322:             217:             975:               3
       201082576:             560:             310:             254:             869:               1
       201082577:             400:             286:             203:             685:               1
       201082578:             485:             247:             198:             730:               2
       201082579:              39:              42:               5:              80:               1
       201082580:              70:              24:              11:              93:               1
       201082581:              23:              16:              10:              37:               2
       201082582:              23:              30:              11:              50:               3
       201082583:              34:              21:               9:              53:               2
       201082584:              54:              44:              19:              95:               3
       201082585:              29:              24:              18:              51:               2
       201082586:             191:              34:              26:             222:               3
       201082587:              34:              36:              16:              68:               2
       201082588:              29:              28:              17:              55:               2
       201082589:              48:              46:              35:              93:               1
       201082590:              58:              40:              31:              96:               2
       201082591:              26:              41:              14:              66:               1
       201082592:              34:              29:              30:              61:               2
       201082593:              19:              19:              10:              36:               2
       201082594:              41:              44:               5:              84:               1
       201082595:              22:              30:              21:              49:               3
       201082596:              16:              16:              11:              29:               3
       201082597:              34:              23:              15:              54:               3
       201082598:              15:              11:               8:              23:               3
       201082599:              39:              21:              17:              58:               2
       201082600:              15:              13:               9:              25:               3
       201082601:              21:               1:               5:              17:               5
       201082602:             132:               0:               2:             130:               2
       201082603:             176:               0:               2:             174:               2
       201082604:             176:               0:               3:             173:               3
       201082605:             176:               0:               2:             174:               2
       201082606:             176:               0:               3:             173:               3
       201082607:             176:               0:               2:             174:               2
       201082608:             164:               0:               4:             160:               4
       201082609:             128:               0:               4:             124:               4
       201082610:             128:               0:               3:             125:               3
       201082611:             128:               0:               4:             124:               4
       201082612:             128:               0:               4:             124:               4
       201082613:              66:               0:               4:              62:               4
       201082614:               4:               0:               1:               3:               1
       201082615:               4:               0:               1:               3:               1
       201082616:               3:               0:               1:               2:               1
       201082617:               3:               0:               1:               2:               1
       201082618:               3:               0:               1:               2:               1
       201082619:               2:               0:               1:               1:               1
       201082620:               2:               0:               1:               1:               1
       201082621:               4:               0:               1:               3:               1
       201082622:               3:               0:               1:               2:               1
       201082623:               4:               0:               1:               3:               1
       201082624:              66:               0:               1:              65:               1
       201082638:               6:               0:               2:               4:               2
       201082639:               4:               0:               3:               1:               3
       201082642:              43:               0:               4:              39:               4
       201082644:              43:               0:               2:              41:               2
       201082645:              43:               0:               2:              41:               2
       201082694:              43:               0:               4:              39:               4
       201082695:              43:               0:               4:              39:               4
       201082696:              45:               0:               2:              43:               2
       201082697:              43:               0:               2:              41:               2
       201082702:              43:               0:               3:              40:               3
       201082703:              43:               0:               2:              41:               2
       201082705:              43:               0:               2:              41:               2
       201082707:              43:               0:               3:              40:               3
       201082708:              44:               0:               4:              40:               4
       201082782:              43:               0:               3:              40:               3
       201082784:              43:               0:               3:              40:               3
       201082785:              45:               0:               2:              43:               2
       201082788:              43:               0:               2:              41:               2
       201082793:              43:               0:               2:              41:               2
       201082794:              44:               0:               3:              41:               3
       201082795:              43:               0:               4:              39:               4
       201082798:              43:               0:               4:              39:               4
       201082806:              43:               0:               3:              40:               3
       201082808:              43:               0:               3:              40:               3
       201082809:              43:               0:               4:              39:               4
       201082816:              43:               0:               2:              41:               2
       201082817:              43:               0:               2:              41:               2
       201082818:              80:               0:               3:              77:               3
       201082819:             680:               0:               2:             678:               2
       201082821:              33:               0:               2:              31:               2
       201082824:              31:               0:               3:              28:               3
       201082825:              31:               0:               3:              28:               3
       201082826:              31:               0:               2:              29:               2
       201082827:              31:               0:               2:              29:               2
       201082828:              31:               0:               4:              27:               4
       201082829:              31:               0:               2:              29:               2
       201082832:              64:               0:               2:              62:               2
       201082839:              31:               0:               3:              28:               3
       201082842:              32:               0:               2:              30:               2
       201082844:              31:               0:               2:              29:               2
       201082845:              31:               0:               3:              28:               3
       201082846:              32:               0:               3:              29:               3
       201082849:              31:               0:               2:              29:               2
       201082850:              31:               0:               2:              29:               2
       201082853:              31:               0:               2:              29:               2
###Heap###
###Global###:	         8407043:               2:               0:               1:               1:               1
         8407045:               2:               0:               1:               1:               1
         8407047:               3:               0:               1:               2:               1
         8407048:               2:               0:               1:               1:               1
         8407049:               2:               0:               1:               1:               1
         8407050:               2:               0:               1:               1:               1
         8407051:               2:               0:               1:               1:               1
         8407053:               1:               0:               1:               0:               1
         8407055:               1:               0:               1:               0:               1
         8407057:               1:               0:               1:               0:               1
         8407058:               1:               0:               1:               0:               1
         8407059:               2:               0:               1:               1:               1
         8407060:               1:               0:               1:               0:               1
         8407061:              34:               0:               2:              32:               2
         8407133:               4:               0:               1:               3:               1
         8407134:             156:               0:               2:             154:               2
         8407135:              16:               0:               4:              12:               4
         8407136:              26:               0:               3:              23:               3
         8407137:              24:               0:               3:              21:               3
         8407138:               8:               0:               1:               7:               1
         8407140:               1:               0:               1:               0:               1
         8407141:               2:               0:               1:               1:               1
         8407142:               1:               0:               1:               0:               1
         8407143:               2:               0:               1:               1:               1
         8407144:               1:               0:               1:               0:               1
         8407145:               2:               0:               1:               1:               1
         8407146:               1:               0:               1:               0:               1
         8407147:               2:               0:               1:               1:               1
         8407151:               1:               0:               1:               0:               1
         8407152:               2:               0:               1:               1:               1
         8407156:               1:               0:               1:               0:               1
